tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Copa do Brasil,Fluminense,2.0,2.0,Fortaleza FC,9.0,3.0,126.0,69.0,14.0,13.0,00:00:00,2022-08-18,0.0,0.0,DRAW,DRAW,12.0
Copa do Brasil,Fortaleza FC,0.0,1.0,Fluminense,7.0,3.0,69.0,68.0,11.0,11.0,00:30:00,2022-07-29,-1.0,1.0,LOST,WON,10.0
Copa do Brasil,Sao Paulo,1.0,0.0,America MG,5.0,4.0,98.0,76.0,10.0,3.0,00:00:00,2022-07-29,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Atletico Goianiense,2.0,0.0,Corinthians,4.0,7.0,81.0,90.0,7.0,8.0,01:30:00,2022-07-28,2.0,-2.0,WON,LOST,11.0
Copa do Brasil,Flamengo,0.0,0.0,Athletico Paranaense,7.0,3.0,115.0,66.0,24.0,4.0,01:30:00,2022-07-28,0.0,0.0,DRAW,DRAW,10.0
Copa do Brasil,Botafogo RJ,0.0,2.0,America MG,6.0,3.0,136.0,83.0,28.0,10.0,01:00:00,2022-07-15,-2.0,2.0,LOST,WON,9.0
Copa do Brasil,Palmeiras,2.0,1.0,Sao Paulo,13.0,5.0,79.0,101.0,17.0,9.0,00:00:00,2022-07-15,1.0,-1.0,WON,LOST,18.0
Copa do Brasil,Santos,1.0,0.0,Corinthians,7.0,1.0,140.0,73.0,12.0,7.0,01:30:00,2022-07-14,1.0,-1.0,WON,LOST,8.0
Copa do Brasil,Flamengo,2.0,0.0,Atletico Mineiro,4.0,5.0,110.0,95.0,21.0,5.0,01:30:00,2022-07-14,2.0,-2.0,WON,LOST,9.0
Copa do Brasil,Ceara,1.0,0.0,Fortaleza FC,5.0,4.0,127.0,77.0,12.0,17.0,00:00:00,2022-07-14,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Goias,0.0,3.0,Atletico Goianiense,7.0,4.0,96.0,94.0,12.0,11.0,23:00:00,2022-07-13,-3.0,3.0,LOST,WON,11.0
Copa do Brasil,Cruzeiro,0.0,3.0,Fluminense,4.0,5.0,139.0,132.0,16.0,11.0,01:00:00,2022-07-13,-3.0,3.0,LOST,WON,9.0
Copa do Brasil,Athletico Paranaense,2.0,1.0,EC Bahia,7.0,5.0,121.0,93.0,13.0,7.0,00:30:00,2022-07-13,1.0,-1.0,WON,LOST,12.0
Copa do Brasil,America MG,3.0,0.0,Botafogo RJ,8.0,5.0,93.0,112.0,18.0,20.0,23:00:00,2022-06-30,3.0,-3.0,WON,LOST,13.0
Copa do Brasil,Sao Paulo,1.0,0.0,Palmeiras,4.0,1.0,91.0,101.0,13.0,5.0,00:00:00,2022-06-24,1.0,-1.0,WON,LOST,5.0
Copa do Brasil,Fluminense,2.0,1.0,Cruzeiro,8.0,3.0,163.0,59.0,32.0,5.0,23:00:00,2022-06-23,1.0,-1.0,WON,LOST,11.0
Copa do Brasil,Corinthians,4.0,0.0,Santos,9.0,4.0,101.0,88.0,13.0,6.0,01:30:00,2022-06-23,4.0,-4.0,WON,LOST,13.0
Copa do Brasil,Atletico Mineiro,2.0,1.0,Flamengo,3.0,6.0,84.0,131.0,7.0,10.0,01:30:00,2022-06-23,1.0,-1.0,WON,LOST,9.0
Copa do Brasil,Fortaleza FC,2.0,0.0,Ceara,9.0,6.0,72.0,122.0,16.0,13.0,00:00:00,2022-06-23,2.0,-2.0,WON,LOST,15.0
Copa do Brasil,EC Bahia,1.0,2.0,Athletico Paranaense,5.0,3.0,140.0,111.0,18.0,10.0,23:30:00,2022-06-22,-1.0,1.0,LOST,WON,8.0
Copa do Brasil,Atletico Goianiense,0.0,0.0,Goias,17.0,5.0,108.0,69.0,17.0,12.0,23:00:00,2022-06-22,0.0,0.0,DRAW,DRAW,22.0
Copa do Brasil,Bragantino,0.0,1.0,Goias,12.0,4.0,131.0,102.0,18.0,7.0,01:30:00,2022-06-01,-1.0,1.0,LOST,WON,16.0
Copa do Brasil,Brasiliense,0.0,1.0,Atletico Mineiro,3.0,3.0,87.0,137.0,1.0,9.0,23:00:00,2022-05-22,-1.0,1.0,LOST,WON,6.0
Copa do Brasil,Santos,3.0,0.0,Coritiba,4.0,2.0,130.0,99.0,19.0,6.0,01:30:00,2022-05-13,3.0,-3.0,WON,LOST,6.0
Copa do Brasil,Botafogo RJ,3.0,0.0,Ceilandia,1.0,0.0,168.0,90.0,10.0,8.0,01:30:00,2022-05-13,3.0,-3.0,WON,LOST,1.0
Copa do Brasil,Cruzeiro,1.0,0.0,Clube Do Remo,7.0,0.0,136.0,93.0,20.0,4.0,23:30:00,2022-05-12,1.0,-1.0,WON,LOST,7.0
Copa do Brasil,Sao Paulo,2.0,0.0,EC Juventude,5.0,4.0,96.0,99.0,9.0,10.0,23:30:00,2022-05-12,2.0,-2.0,WON,LOST,9.0
Copa do Brasil,Vitoria EC,0.0,1.0,Fortaleza FC,2.0,4.0,101.0,139.0,12.0,12.0,23:00:00,2022-05-12,-1.0,1.0,LOST,WON,6.0
Copa do Brasil,Cuiaba,0.0,0.0,Atletico Goianiense,0.0,8.0,76.0,92.0,1.0,8.0,02:00:00,2022-05-12,0.0,0.0,DRAW,DRAW,8.0
